Expression	Value	Location	Type	
UserEQ	<array>	0x2000A280	EQ_STRUCT[8][8]	
b0L	Error (col 1): Unknown or ambiguous symbol. b0L			
b1L	Error (col 1): Unknown or ambiguous symbol. b1L			
b2L	Error (col 1): Unknown or ambiguous symbol. b2L			
a1L	Error (col 1): Unknown or ambiguous symbol. a1L			
a2L	Error (col 1): Unknown or ambiguous symbol. a2L			
bql	Error (col 1): Unknown or ambiguous symbol. bql			
[475]	0x10	0x2000945B	uint8_t	
[476]	0x0A	0x2000945C	uint8_t	
[477]	0x21	0x2000945D	uint8_t	
[478]	0x00	0x2000945E	uint8_t	
[479]	0x62	0x2000945F	uint8_t	
[480]	0x08	0x20009460	uint8_t	
[481]	0x00	0x20009461	uint8_t	
[482]	0x00	0x20009462	uint8_t	
[483]	0x60	0x20009463	uint8_t	
[484]	0x01	0x20009464	uint8_t	
[485]	0x00	0x20009465	uint8_t	
[486]	0x00	0x20009466	uint8_t	
[487]	0x22	0x20009467	uint8_t	
[488]	0x06	0x20009468	uint8_t	
[489]	0x40	0x20009469	uint8_t	
[490]	0x60	0x2000946A	uint8_t	
[491]	0x10	0x2000946B	uint8_t	
[492]	0x00	0x2000946C	uint8_t	
[493]	0x00	0x2000946D	uint8_t	
[494]	0x00	0x2000946E	uint8_t	
[495]	0x00	0x2000946F	uint8_t	
[496]	0x00	0x20009470	uint8_t	
[497]	0x00	0x20009471	uint8_t	
[498]	0x00	0x20009472	uint8_t	
[499]	0x00	0x20009473	uint8_t	
[500]	0xC0	0x20009474	uint8_t	
[501]	0x00	0x20009475	uint8_t	
[502]	0x20	0x20009476	uint8_t	
[503]	0x00	0x20009477	uint8_t	
[504]	0x80	0x20009478	uint8_t	
[505]	0x00	0x20009479	uint8_t	
[506]	0x00	0x2000947A	uint8_t	
[507]	0x39	0x2000947B	uint8_t	
[508]	0x0D	0x2000947C	uint8_t	
[509]	0x00	0x2000947D	uint8_t	
[510]	0xFF	0x2000947E	uint8_t	
[511]	0xC1	0x2000947F	uint8_t	
[512]	0xC0	0x20009480	uint8_t	
[513]	0x00	0x20009481	uint8_t	
[514]	0x20	0x20009482	uint8_t	
[515]	0x00	0x20009483	uint8_t	
[516]	0x80	0x20009484	uint8_t	
[517]	0x00	0x20009485	uint8_t	
[518]	0x00	0x20009486	uint8_t	
[519]	0x01	0x20009487	uint8_t	
[520]	0x0D	0x20009488	uint8_t	
[521]	0x00	0x20009489	uint8_t	
[522]	0xF4	0x2000948A	uint8_t	
[523]	0x62	0x2000948B	uint8_t	
[524]	0xC0	0x2000948C	uint8_t	
[525]	0x00	0x2000948D	uint8_t	
[526]	0x20	0x2000948E	uint8_t	
[527]	0x00	0x2000948F	uint8_t	
[528]	0x80	0x20009490	uint8_t	
[529]	0x00	0x20009491	uint8_t	
[530]	0x00	0x20009492	uint8_t	
[531]	0x00	0x20009493	uint8_t	
[532]	0x0D	0x20009494	uint8_t	
[533]	0x00	0x20009495	uint8_t	
[534]	0xF4	0x20009496	uint8_t	
[535]	0x62	0x20009497	uint8_t	
[536]	0xC0	0x20009498	uint8_t	
[537]	0x00	0x20009499	uint8_t	
[538]	0x20	0x2000949A	uint8_t	
[539]	0x00	0x2000949B	uint8_t	
[540]	0x80	0x2000949C	uint8_t	
[541]	0x00	0x2000949D	uint8_t	
[542]	0x00	0x2000949E	uint8_t	
[543]	0x02	0x2000949F	uint8_t	
[544]	0x0D	0x200094A0	uint8_t	
[545]	0x00	0x200094A1	uint8_t	
[546]	0xFF	0x200094A2	uint8_t	
[547]	0xD1	0x200094A3	uint8_t	
[548]	0x00	0x200094A4	uint8_t	
[549]	0x00	0x200094A5	uint8_t	
[550]	0x00	0x200094A6	uint8_t	
[551]	0x03	0x200094A7	uint8_t	
[552]	0x0D	0x200094A8	uint8_t	
[553]	0x00	0x200094A9	uint8_t	
[554]	0xFF	0x200094AA	uint8_t	
[555]	0xD2	0x200094AB	uint8_t	
[556]	0x00	0x200094AC	uint8_t	
[557]	0x00	0x200094AD	uint8_t	
[558]	0x00	0x200094AE	uint8_t	
[559]	0x05	0x200094AF	uint8_t	
[560]	0x00	0x200094B0	uint8_t	
[561]	0x00	0x200094B1	uint8_t	
[562]	0x00	0x200094B2	uint8_t	
[563]	0x00	0x200094B3	uint8_t	
[564]	0x00	0x200094B4	uint8_t	
[565]	0x00	0x200094B5	uint8_t	
[566]	0x00	0x200094B6	uint8_t	
[567]	0x00	0x200094B7	uint8_t	
[568]	0x02	0x200094B8	uint8_t	
[569]	0x00	0x200094B9	uint8_t	
[570]	0x06	0x200094BA	uint8_t	
[571]	0xC0	0x200094BB	uint8_t	
[572]	0x00	0x200094BC	uint8_t	
[573]	0x00	0x200094BD	uint8_t	
[574]	0x00	0x200094BE	uint8_t	
[575]	0x00	0x200094BF	uint8_t	
[576]	0x00	0x200094C0	uint8_t	
[577]	0x00	0x200094C1	uint8_t	
[578]	0x00	0x200094C2	uint8_t	
[579]	0x00	0x200094C3	uint8_t	
[580]	0x00	0x200094C4	uint8_t	
[581]	0x00	0x200094C5	uint8_t	
[582]	0x00	0x200094C6	uint8_t	
[583]	0x00	0x200094C7	uint8_t	
[584]	0x02	0x200094C8	uint8_t	
[585]	0x01	0x200094C9	uint8_t	
[586]	0x00	0x200094CA	uint8_t	
[587]	0x30	0x200094CB	uint8_t	
[588]	0x00	0x200094CC	uint8_t	
