Expression	Value	Location	Type	
UserEQ	<array>	0x2000A280	EQ_STRUCT[8][8]	
b0L	Error (col 1): Unknown or ambiguous symbol. b0L			
b1L	Error (col 1): Unknown or ambiguous symbol. b1L			
b2L	Error (col 1): Unknown or ambiguous symbol. b2L			
a1L	Error (col 1): Unknown or ambiguous symbol. a1L			
a2L	Error (col 1): Unknown or ambiguous symbol. a2L			
bql	Error (col 1): Unknown or ambiguous symbol. bql			
[1819]	0x00	0x2000999B	uint8_t	
[1820]	0x00	0x2000999C	uint8_t	
[1821]	0x00	0x2000999D	uint8_t	
[1822]	0x00	0x2000999E	uint8_t	
[1823]	0x00	0x2000999F	uint8_t	
[1824]	0x00	0x200099A0	uint8_t	
[1825]	0x00	0x200099A1	uint8_t	
[1826]	0x00	0x200099A2	uint8_t	
[1827]	0x00	0x200099A3	uint8_t	
[1828]	0x00	0x200099A4	uint8_t	
[1829]	0x00	0x200099A5	uint8_t	
[1830]	0x00	0x200099A6	uint8_t	
[1831]	0x00	0x200099A7	uint8_t	
[1832]	0x00	0x200099A8	uint8_t	
[1833]	0x00	0x200099A9	uint8_t	
[1834]	0x00	0x200099AA	uint8_t	
[1835]	0x00	0x200099AB	uint8_t	
[1836]	0x00	0x200099AC	uint8_t	
[1837]	0x00	0x200099AD	uint8_t	
[1838]	0x00	0x200099AE	uint8_t	
[1839]	0x00	0x200099AF	uint8_t	
[1840]	0x00	0x200099B0	uint8_t	
[1841]	0x00	0x200099B1	uint8_t	
[1842]	0x00	0x200099B2	uint8_t	
[1843]	0x00	0x200099B3	uint8_t	
[1844]	0x00	0x200099B4	uint8_t	
[1845]	0x00	0x200099B5	uint8_t	
[1846]	0x00	0x200099B6	uint8_t	
[1847]	0x00	0x200099B7	uint8_t	
[1848]	0x00	0x200099B8	uint8_t	
[1849]	0x00	0x200099B9	uint8_t	
[1850]	0x00	0x200099BA	uint8_t	
[1851]	0x00	0x200099BB	uint8_t	
[1852]	0x00	0x200099BC	uint8_t	
[1853]	0x00	0x200099BD	uint8_t	
[1854]	0x00	0x200099BE	uint8_t	
[1855]	0x00	0x200099BF	uint8_t	
[1856]	0x00	0x200099C0	uint8_t	
[1857]	0x00	0x200099C1	uint8_t	
[1858]	0x00	0x200099C2	uint8_t	
[1859]	0x00	0x200099C3	uint8_t	
[1860]	0x00	0x200099C4	uint8_t	
[1861]	0x00	0x200099C5	uint8_t	
[1862]	0x00	0x200099C6	uint8_t	
[1863]	0x00	0x200099C7	uint8_t	
[1864]	0x00	0x200099C8	uint8_t	
[1865]	0x00	0x200099C9	uint8_t	
[1866]	0x00	0x200099CA	uint8_t	
[1867]	0x00	0x200099CB	uint8_t	
[1868]	0x00	0x200099CC	uint8_t	
[1869]	0x00	0x200099CD	uint8_t	
[1870]	0x00	0x200099CE	uint8_t	
[1871]	0x00	0x200099CF	uint8_t	
[1872]	0x00	0x200099D0	uint8_t	
[1873]	0x00	0x200099D1	uint8_t	
[1874]	0x00	0x200099D2	uint8_t	
[1875]	0x00	0x200099D3	uint8_t	
[1876]	0x00	0x200099D4	uint8_t	
[1877]	0x00	0x200099D5	uint8_t	
[1878]	0x00	0x200099D6	uint8_t	
[1879]	0x00	0x200099D7	uint8_t	
[1880]	0x00	0x200099D8	uint8_t	
[1881]	0x00	0x200099D9	uint8_t	
[1882]	0x00	0x200099DA	uint8_t	
[1883]	0x00	0x200099DB	uint8_t	
[1884]	0x00	0x200099DC	uint8_t	
[1885]	0x00	0x200099DD	uint8_t	
[1886]	0x00	0x200099DE	uint8_t	
[1887]	0x00	0x200099DF	uint8_t	
[1888]	0x00	0x200099E0	uint8_t	
[1889]	0x00	0x200099E1	uint8_t	
[1890]	0x00	0x200099E2	uint8_t	
[1891]	0x00	0x200099E3	uint8_t	
[1892]	0x00	0x200099E4	uint8_t	
[1893]	0x00	0x200099E5	uint8_t	
[1894]	0x00	0x200099E6	uint8_t	
[1895]	0x00	0x200099E7	uint8_t	
[1896]	0x00	0x200099E8	uint8_t	
[1897]	0x00	0x200099E9	uint8_t	
[1898]	0x00	0x200099EA	uint8_t	
[1899]	0x00	0x200099EB	uint8_t	
[1900]	0x00	0x200099EC	uint8_t	
[1901]	0x00	0x200099ED	uint8_t	
[1902]	0x00	0x200099EE	uint8_t	
[1903]	0x00	0x200099EF	uint8_t	
[1904]	0x00	0x200099F0	uint8_t	
[1905]	0x00	0x200099F1	uint8_t	
[1906]	0x00	0x200099F2	uint8_t	
[1907]	0x00	0x200099F3	uint8_t	
[1908]	0x00	0x200099F4	uint8_t	
[1909]	0x00	0x200099F5	uint8_t	
[1910]	0x00	0x200099F6	uint8_t	
[1911]	0x00	0x200099F7	uint8_t	
[1912]	0x00	0x200099F8	uint8_t	
[1913]	0x00	0x200099F9	uint8_t	
[1914]	0x00	0x200099FA	uint8_t	
[1915]	0x00	0x200099FB	uint8_t	
[1916]	0x00	0x200099FC	uint8_t	
[1917]	0x00	0x200099FD	uint8_t	
[1918]	0x00	0x200099FE	uint8_t	
[1919]	0x00	0x200099FF	uint8_t	
[1920]	0x00	0x20009A00	uint8_t	
[1921]	0x00	0x20009A01	uint8_t	
[1922]	0x00	0x20009A02	uint8_t	
[1923]	0x00	0x20009A03	uint8_t	
[1924]	0x00	0x20009A04	uint8_t	
[1925]	0x00	0x20009A05	uint8_t	
[1926]	0x00	0x20009A06	uint8_t	
[1927]	0x00	0x20009A07	uint8_t	
[1928]	0x00	0x20009A08	uint8_t	
[1929]	0x00	0x20009A09	uint8_t	
[1930]	0x00	0x20009A0A	uint8_t	
[1931]	0x00	0x20009A0B	uint8_t	
[1932]	0x00	0x20009A0C	uint8_t	
[1933]	0x00	0x20009A0D	uint8_t	
[1934]	0x00	0x20009A0E	uint8_t	
[1935]	0x00	0x20009A0F	uint8_t	
[1936]	0x00	0x20009A10	uint8_t	
[1937]	0x00	0x20009A11	uint8_t	
[1938]	0x00	0x20009A12	uint8_t	
[1939]	0x00	0x20009A13	uint8_t	
[1940]	0x00	0x20009A14	uint8_t	
[1941]	0x00	0x20009A15	uint8_t	
[1942]	0x00	0x20009A16	uint8_t	
[1943]	0x00	0x20009A17	uint8_t	
[1944]	0x00	0x20009A18	uint8_t	
[1945]	0x00	0x20009A19	uint8_t	
[1946]	0x00	0x20009A1A	uint8_t	
[1947]	0x00	0x20009A1B	uint8_t	
[1948]	0x00	0x20009A1C	uint8_t	
[1949]	0x00	0x20009A1D	uint8_t	
[1950]	0x00	0x20009A1E	uint8_t	
[1951]	0x00	0x20009A1F	uint8_t	
[1952]	0x00	0x20009A20	uint8_t	
[1953]	0x00	0x20009A21	uint8_t	
[1954]	0x00	0x20009A22	uint8_t	
[1955]	0x00	0x20009A23	uint8_t	
[1956]	0x00	0x20009A24	uint8_t	
[1957]	0x00	0x20009A25	uint8_t	
[1958]	0x00	0x20009A26	uint8_t	
[1959]	0x00	0x20009A27	uint8_t	
[1960]	0x00	0x20009A28	uint8_t	
[1961]	0x00	0x20009A29	uint8_t	
[1962]	0x00	0x20009A2A	uint8_t	
[1963]	0x00	0x20009A2B	uint8_t	
[1964]	0x00	0x20009A2C	uint8_t	
[1965]	0x00	0x20009A2D	uint8_t	
[1966]	0x00	0x20009A2E	uint8_t	
[1967]	0x00	0x20009A2F	uint8_t	
[1968]	0x00	0x20009A30	uint8_t	
[1969]	0x00	0x20009A31	uint8_t	
[1970]	0x00	0x20009A32	uint8_t	
[1971]	0x00	0x20009A33	uint8_t	
[1972]	0x00	0x20009A34	uint8_t	
[1973]	0x00	0x20009A35	uint8_t	
[1974]	0x00	0x20009A36	uint8_t	
[1975]	0x00	0x20009A37	uint8_t	
[1976]	0x00	0x20009A38	uint8_t	
[1977]	0x00	0x20009A39	uint8_t	
[1978]	0x00	0x20009A3A	uint8_t	
[1979]	0x00	0x20009A3B	uint8_t	
[1980]	0x00	0x20009A3C	uint8_t	
[1981]	0x00	0x20009A3D	uint8_t	
[1982]	0x00	0x20009A3E	uint8_t	
[1983]	0x00	0x20009A3F	uint8_t	
[1984]	0x00	0x20009A40	uint8_t	
[1985]	0x00	0x20009A41	uint8_t	
[1986]	0x00	0x20009A42	uint8_t	
[1987]	0x00	0x20009A43	uint8_t	
[1988]	0x00	0x20009A44	uint8_t	
[1989]	0x00	0x20009A45	uint8_t	
[1990]	0x00	0x20009A46	uint8_t	
[1991]	0x00	0x20009A47	uint8_t	
[1992]	0x00	0x20009A48	uint8_t	
[1993]	0x00	0x20009A49	uint8_t	
[1994]	0x00	0x20009A4A	uint8_t	
[1995]	0x00	0x20009A4B	uint8_t	
[1996]	0x00	0x20009A4C	uint8_t	
[1997]	0x00	0x20009A4D	uint8_t	
[1998]	0x00	0x20009A4E	uint8_t	
[1999]	0x00	0x20009A4F	uint8_t	
[2000]	0x00	0x20009A50	uint8_t	
[2001]	0x00	0x20009A51	uint8_t	
[2002]	0x00	0x20009A52	uint8_t	
[2003]	0x00	0x20009A53	uint8_t	
[2004]	0x00	0x20009A54	uint8_t	
[2005]	0x00	0x20009A55	uint8_t	
[2006]	0x00	0x20009A56	uint8_t	
[2007]	0x00	0x20009A57	uint8_t	
[2008]	0x00	0x20009A58	uint8_t	
[2009]	0x00	0x20009A59	uint8_t	
[2010]	0x00	0x20009A5A	uint8_t	
[2011]	0x00	0x20009A5B	uint8_t	
[2012]	0x00	0x20009A5C	uint8_t	
[2013]	0x00	0x20009A5D	uint8_t	
[2014]	0x00	0x20009A5E	uint8_t	
[2015]	0x00	0x20009A5F	uint8_t	
[2016]	0x00	0x20009A60	uint8_t	
[2017]	0x00	0x20009A61	uint8_t	
[2018]	0x00	0x20009A62	uint8_t	
[2019]	0x00	0x20009A63	uint8_t	
[2020]	0x00	0x20009A64	uint8_t	
[2021]	0x00	0x20009A65	uint8_t	
[2022]	0x00	0x20009A66	uint8_t	
[2023]	0x00	0x20009A67	uint8_t	
[2024]	0x00	0x20009A68	uint8_t	
[2025]	0x00	0x20009A69	uint8_t	
[2026]	0x00	0x20009A6A	uint8_t	
[2027]	0x00	0x20009A6B	uint8_t	
[2028]	0x00	0x20009A6C	uint8_t	
[2029]	0x00	0x20009A6D	uint8_t	
[2030]	0x00	0x20009A6E	uint8_t	
[2031]	0x00	0x20009A6F	uint8_t	
[2032]	0x00	0x20009A70	uint8_t	
[2033]	0x00	0x20009A71	uint8_t	
[2034]	0x00	0x20009A72	uint8_t	
[2035]	0x00	0x20009A73	uint8_t	
[2036]	0x00	0x20009A74	uint8_t	
[2037]	0x00	0x20009A75	uint8_t	
[2038]	0x00	0x20009A76	uint8_t	
[2039]	0x00	0x20009A77	uint8_t	
[2040]	0x00	0x20009A78	uint8_t	
[2041]	0x00	0x20009A79	uint8_t	
[2042]	0x00	0x20009A7A	uint8_t	
[2043]	0x00	0x20009A7B	uint8_t	
[2044]	0x00	0x20009A7C	uint8_t	
[2045]	0x00	0x20009A7D	uint8_t	
[2046]	0x00	0x20009A7E	uint8_t	
[2047]	0x00	0x20009A7F	uint8_t	
[1]	<array>"KSM;ACK;245"	0x20009A80	uint8_t[2048]	
KSM_cmd	<array>"d"	0x2000BEC8	uint8_t[32]	
pps	Error: non-readable. 			
di	Error: non-readable. 			
